num of runs,input 1,input 2,Objective
1,-1.58,-4.3,"[-1.8035999999999994, 41.269999999999996]"
1,8.12,0.63,"[66.56439999999998, -6.243099999999999]"
1,1.19,-3.09,"[-1.6739, 24.718099999999996]"
1,-0.97,-1.27,"[-0.32910000000000006, 11.6629]"
1,1.06,2.76,"[3.8836, -0.4824000000000004]"
1,-1.01,-2.6,"[-1.5799, 22.169999999999998]"
1,1.68,-4.86,"[-2.0376000000000007, 45.3796]"
1,-0.56,0.97,"[1.2836, 1.6209]"
1,-0.81,1.2,"[1.8561, 1.4500000000000002]"
2,7.38,2.41,"[56.874399999999994, -7.2119]"
2,0.33,0.73,"[0.8389, 1.2829]"
2,5.94,2.01,"[37.293600000000005, -5.939900000000001]"
2,3.08,1.83,"[11.3164, -3.0511]"
2,-0.03,-8.35,"[-8.3491, 107.15249999999999]"
2,-0.32,1.15,"[1.2524, 1.0425000000000002]"
2,8.57,1.06,"[74.5049, -7.686400000000001]"
2,0.46,-8.2,"[-7.9883999999999995, 103.58]"
2,4.22,1.98,"[19.7884, -4.2196]"
2,0.03,-4.47,"[-4.4691, 41.83089999999999]"
2,-0.83,-7.22,"[-6.5310999999999995, 85.83839999999998]"
2,0.36,-5.58,"[-5.4504, 57.0964]"
2,-0.25,-1.86,"[-1.7975, 15.149600000000003]"
2,-0.27,-2.5,"[-2.4271, 20.52]"
2,0.21,-0.71,"[-0.6658999999999999, 7.1341]"
2,-0.12,-0.17,"[-0.15560000000000002, 4.8289]"
2,-0.02,-1.68,"[-1.6796, 13.562399999999997]"
2,-0.02,1.52,"[1.5204, 0.2504]"
2,4.74,2.26,"[24.727600000000002, -4.6724000000000006]"
2,0.16,-3.92,"[-3.8944, 34.8864]"
2,6.61,1.78,"[45.472100000000005, -6.5616]"
2,0.26,-2.76,"[-2.6923999999999997, 22.397599999999997]"
2,0.18,-1.68,"[-1.6476, 13.362399999999997]"
2,1.74,1.94,"[4.9676, -1.7364]"
2,-0.01,0.02,"[0.0201, 3.9303999999999997]"
2,0.45,-2.11,"[-1.9074999999999998, 16.442099999999996]"
2,-0.32,-0.27,"[-0.16760000000000003, 5.4729]"
2,-0.18,0.13,"[0.1624, 3.6769000000000007]"
